group_ann	original	description	in.heating_fuel	in.hvac_cooling_type	upgrade	shape_ts_cooling	shape_ts_heating	version
res_hvac_ann_76	Other fossil heating no cooling	Other fossil heating no cooling to ultra high eff ASHP	Other Fuel	None	3	res_cooling_ts_4	res_heating_ts_5	7/19/24
res_hvac_ann_77	Other fossil heating no cooling	Other fossil heating no cooling to ES ASHP existing backup	Fuel Oil	None	4	res_cooling_ts_4	res_heating_ts_6	7/19/24
res_hvac_ann_77	Other fossil heating no cooling	Other fossil heating no cooling to ES ASHP existing backup	Propane	None	4	res_cooling_ts_4	res_heating_ts_6	7/19/24
res_hvac_ann_77	Other fossil heating no cooling	Other fossil heating no cooling to ES ASHP existing backup	Other Fuel	None	4	res_cooling_ts_4	res_heating_ts_6	7/19/24
res_hvac_ann_78	Other fossil heating no cooling	Other fossil heating no cooling to GSHP	Fuel Oil	None	5	res_cooling_ts_5	res_heating_ts_7	7/19/24
res_hvac_ann_78	Other fossil heating no cooling	Other fossil heating no cooling to GSHP	Propane	None	5	res_cooling_ts_5	res_heating_ts_7	7/19/24
res_hvac_ann_78	Other fossil heating no cooling	Other fossil heating no cooling to GSHP	Other Fuel	None	5	res_cooling_ts_5	res_heating_ts_7	7/19/24
res_hvac_ann_79	Other fossil heating no cooling	Other fossil heating no cooling to ES ASHP + light env	Fuel Oil	None	6	res_cooling_ts_6	res_heating_ts_8	7/19/24
res_hvac_ann_79	Other fossil heating no cooling	Other fossil heating no cooling to ES ASHP + light env	Propane	None	6	res_cooling_ts_6	res_heating_ts_8	7/19/24
res_hvac_ann_79	Other fossil heating no cooling	Other fossil heating no cooling to ES ASHP + light env	Other Fuel	None	6	res_cooling_ts_6	res_heating_ts_8	7/19/24
res_hvac_ann_8	ER heating + AC	ER heating + AC to ultra high eff ASHP + light env	Electricity	Central AC	8	res_cooling_ts_8	res_heating_ts_10	7/19/24
res_hvac_ann_8	ER heating + AC	ER heating + AC to ultra high eff ASHP + light env	Electricity	Room AC	8	res_cooling_ts_8	res_heating_ts_10	7/19/24
res_hvac_ann_80	Other fossil heating no cooling	Other fossil heating no cooling to high eff ASHP + light env	Fuel Oil	None	7	res_cooling_ts_7	res_heating_ts_9	7/19/24
res_hvac_ann_80	Other fossil heating no cooling	Other fossil heating no cooling to high eff ASHP + light env	Propane	None	7	res_cooling_ts_7	res_heating_ts_9	7/19/24
res_hvac_ann_80	Other fossil heating no cooling	Other fossil heating no cooling to high eff ASHP + light env	Other Fuel	None	7	res_cooling_ts_7	res_heating_ts_9	7/19/24
res_hvac_ann_81	Other fossil heating no cooling	Other fossil heating no cooling to ultra high eff ASHP + light env	Fuel Oil	None	8	res_cooling_ts_8	res_heating_ts_10	7/19/24
