sector	in.state	month	fuel	calibration_multiplier
com	KS	4	Natural Gas	0.9214326502877261
com	KS	5	Electric	0.9593837008599696
com	KS	5	Natural Gas	1.1065954740324566
com	KS	6	Electric	1.0123419268986018
com	KS	6	Natural Gas	1.0827746024195317
com	KS	7	Electric	0.9990706492069504
com	KS	7	Natural Gas	1.0564602435610742
com	KS	8	Electric	1.0479678724386785
com	KS	8	Natural Gas	1.1225568094893632
com	KS	9	Electric	1.1237134386662364
com	KS	9	Natural Gas	0.9958061152260743
com	KS	10	Electric	1.0504825134266231
com	KS	10	Natural Gas	1.1319376676194755
com	KS	11	Electric	0.9337869968496737
com	KS	11	Natural Gas	0.9138563654865972
com	KS	12	Electric	0.9250229556717848
com	KS	12	Natural Gas	1.1292345741846792
com	KY	1	Electric	0.8719385388642028
com	KY	1	Natural Gas	0.7582618510436693
com	KY	2	Electric	0.9985815659315775
com	KY	2	Natural Gas	1.1900134270782938
com	KY	3	Electric	0.9074771051734711
com	KY	3	Natural Gas	0.8989758873514344
com	KY	4	Electric	0.9107025308654928
com	KY	4	Natural Gas	0.8094974445351018
com	KY	5	Electric	0.8462269975686318
com	KY	5	Natural Gas	1.0125253746624503
com	KY	6	Electric	0.9325415844732324
com	KY	6	Natural Gas	0.7832993038801844
com	KY	7	Electric	0.9965015665939632
com	KY	7	Natural Gas	0.714161366319746
com	KY	8	Electric	0.9768974095745342
com	KY	8	Natural Gas	0.7966925129573543
com	KY	9	Electric	0.9423519003253636
com	KY	9	Natural Gas	0.8965630866685936
com	KY	10	Electric	0.9176782270175682
com	KY	10	Natural Gas	0.988908997747431
com	KY	11	Electric	0.8938865680293903
com	KY	11	Natural Gas	0.8002710469846512
com	KY	12	Electric	0.9122578091049389
com	KY	12	Natural Gas	1.0761697652766848
com	LA	1	Electric	1.0157232482422323
com	LA	1	Natural Gas	0.6254540958394097
com	LA	2	Electric	1.1338266338335883
com	LA	2	Natural Gas	0.9487421411821021
com	LA	3	Electric	1.038296164826531
com	LA	3	Natural Gas	1.0669241548310655
com	LA	4	Electric	1.0430857994441207
com	LA	4	Natural Gas	0.9371415407371236
com	LA	5	Electric	0.898454106391813
com	LA	5	Natural Gas	0.858161659734716
com	LA	6	Electric	0.9524932426258287
com	LA	6	Natural Gas	0.8821435952104663
com	LA	7	Electric	0.9900865267350054
