meas	Scout_end_use	original_ann	measure_ann	original_ts	measure_ts	sector	original_desc	measure_desc	original_desc_simple	measure_desc_simple
(C) ESTAR HP Pt. FS (NG Furnace)	Heating (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_heating_ts_8	com_heating_ts_2	com	NG furnace + central or room AC	ASHP, ESTAR with fossil backup	fossil	ASHP, ESTAR with fossil backup
(C) ESTAR HP Pt. FS (NG Furnace)	Ventilation	com_hvac_ann_12	com_hvac_ann_12	com_ventilation_6	com_ventilation_6	com	NG furnace + central or room AC	ASHP, ESTAR with fossil backup	AC	ASHP, ESTAR with fossil backup
(C) ESTAR HP Pt. FS (Other Fossil Furnace)	Cooling (Equip.)	com_hvac_ann_24	com_hvac_ann_24	com_cooling_ts_7	com_cooling_ts_7	com	Other fossil furnace + central or room AC	ASHP, ESTAR with fossil backup	AC	ASHP, ESTAR with fossil backup
(C) ESTAR HP Pt. FS (Other Fossil Furnace)	Heating (Equip.)	com_hvac_ann_24	com_hvac_ann_24	com_heating_ts_8	com_heating_ts_2	com	Other fossil furnace + central or room AC	ASHP, ESTAR with fossil backup	fossil	ASHP, ESTAR with fossil backup
(C) ESTAR HP Pt. FS (Other Fossil Furnace)	Ventilation	com_hvac_ann_24	com_hvac_ann_24	com_ventilation_6	com_ventilation_6	com	Other fossil furnace + central or room AC	ASHP, ESTAR with fossil backup	AC	ASHP, ESTAR with fossil backup
(C) ESTAR HP Pt. FS (RTU, NG Heat)	Cooling (Equip.)	com_hvac_ann_16	com_hvac_ann_19	com_cooling_ts_9	com_cooling_ts_1	com	NG RTU + RTAC or chiller	ASHP, ESTAR with fossil backup	RTAC or chiller	ASHP, ESTAR with fossil backup
(C) ESTAR HP Pt. FS (RTU, NG Heat)	Heating (Equip.)	com_hvac_ann_16	com_hvac_ann_19	com_heating_ts_8	com_heating_ts_2	com	NG RTU + RTAC or chiller	ASHP, ESTAR with fossil backup	fossil	ASHP, ESTAR with fossil backup
(C) ESTAR HP Pt. FS (RTU, NG Heat)	Ventilation	com_hvac_ann_16	com_hvac_ann_19	com_ventilation_5	com_ventilation_3	com	NG RTU + RTAC or chiller	ASHP, ESTAR with fossil backup	RTAC or chiller	ASHP, ESTAR with fossil backup
(C) ESTAR HP Pt. FS (RTU, Other Fossil Heat)	Cooling (Equip.)	com_hvac_ann_28	com_hvac_ann_31	com_cooling_ts_9	com_cooling_ts_1	com	Other fossil RTU + RTAC or chiller	ASHP, ESTAR with fossil backup	RTAC or chiller	ASHP, ESTAR with fossil backup
(C) ESTAR HP Pt. FS (RTU, Other Fossil Heat)	Heating (Equip.)	com_hvac_ann_28	com_hvac_ann_31	com_heating_ts_8	com_heating_ts_2	com	Other fossil RTU + RTAC or chiller	ASHP, ESTAR with fossil backup	fossil	ASHP, ESTAR with fossil backup
(C) ESTAR HP Pt. FS (RTU, Other Fossil Heat)	Ventilation	com_hvac_ann_28	com_hvac_ann_31	com_ventilation_5	com_ventilation_3	com	Other fossil RTU + RTAC or chiller	ASHP, ESTAR with fossil backup	RTAC or chiller	ASHP, ESTAR with fossil backup
(C) ESTAR HP TS (Resist. Heat)	Cooling (Equip.)	com_hvac_ann_35	com_hvac_ann_36	com_cooling_ts_9	com_cooling_ts_1	com	ER + RTAC or chiller	ASHP, ESTAR	RTAC or chiller	ASHP, ESTAR
