in.census_division_name,Floor area (sf),year,Scout building type,N_bldgs_CDIV
East South Central,109596207,2021,Food Services ,25433.71892
West South Central,196732345,2021,Food Services ,45655.18555
Mountain,211657409,2021,Food Services ,49118.808
Pacific,194523575,2021,Food Services ,45142.60179
New England,92937942,2021,Health Care,3458.389105
Middle Atlantic,273357331,2021,Health Care,10172.12126
East North Central,593536866,2021,Health Care,22086.5815
West North Central,145508011,2021,Health Care,5414.616561
South Atlantic,403500549,2021,Health Care,15014.98605
East South Central,117286629,2021,Health Care,4364.447837
West South Central,242814316,2021,Health Care,9035.560363
Mountain,187973968,2021,Health Care,6994.851715
Pacific,341440155,2021,Health Care,12705.60641
New England,335599885,2021,Lodging,5807.063619
Middle Atlantic,926563172,2021,Lodging,16032.81624
East North Central,1119084107,2021,Lodging,19364.10856
West North Central,617067078,2021,Lodging,10677.44043
South Atlantic,1388612793,2021,Lodging,24027.90702
East South Central,342397796,2021,Lodging,5924.691495
West South Central,810148682,2021,Lodging,14018.4343
Mountain,734287842,2021,Lodging,12705.77376
Pacific,951576355,2021,Lodging,16465.63267
New England,326360962,2021,Office,18881.35245
Middle Atlantic,2070197510,2021,Office,119769.6213
East North Central,1605672363,2021,Office,92894.89043
West North Central,725598754,2021,Office,41978.93562
South Atlantic,2389649902,2021,Office,138251.284
East South Central,303644043,2021,Office,17567.08327
West South Central,1042027710,2021,Office,60285.6798
Mountain,922133789,2021,Office,53349.31289
Pacific,1446522217,2021,Office,83687.38601
New England,243186706,2021,Office,14069.37239
Middle Atlantic,985237548,2021,Office,57000.1304
East North Central,1491786621,2021,Office,86306.1219
West North Central,820508789,2021,Office,47469.87979
South Atlantic,1206557251,2021,Office,69804.40481
East South Central,378734650,2021,Office,21911.39028
West South Central,1075008544,2021,Office,62193.75958
Mountain,744281921,2021,Office,43059.8353
Pacific,991310608,2021,Office,57351.48243
New England,691856750,2021,Mercantile and Service,53101.60859
Middle Atlantic,2024875366,2021,Mercantile and Service,155413.876
East North Central,3100553711,2021,Mercantile and Service,237974.6813
West North Central,1841136840,2021,Mercantile and Service,141311.5184
South Atlantic,3047282715,2021,Mercantile and Service,233886.0089
East South Central,1041944946,2021,Mercantile and Service,79971.68879
West South Central,2301382324,2021,Mercantile and Service,176636.4257
Mountain,1623523560,2021,Mercantile and Service,124609.1949
Pacific,1841493408,2021,Mercantile and Service,141338.8858
New England,491617675,2021,Warehouse,28377.50572
Middle Atlantic,2117726562,2021,Warehouse,122240.9215
East North Central,3665818847,2021,Warehouse,211601.0074
West North Central,1498473145,2021,Warehouse,86495.93455
South Atlantic,3326637695,2021,Warehouse,192022.5513
East South Central,1356316162,2021,Warehouse,78290.24789
West South Central,2288746826,2021,Warehouse,132112.675
Mountain,1155653321,2021,Warehouse,66707.44441
Pacific,3135248047,2021,Warehouse,180975.0217
New England,385343292,2021,Other,27888.02483
Middle Atlantic,854532044,2021,Other,61844.10461
East North Central,982322510,2021,Other,71092.54298
West North Central,509201263,2021,Other,36851.86108
South Atlantic,1225670654,2021,Other,88704.10967
East South Central,278272980,2021,Other,20139.1433
West South Central,666312439,2021,Other,48222.29485
Mountain,354535095,2021,Other,25658.37719
Pacific,554032959,2021,Other,40096.41594
New England,503263366,2022,Assembly,36917.01009
Middle Atlantic,1192408935,2022,Assembly,87469.45568
East North Central,2353498535,2022,Assembly,172641.4737
West North Central,1004595093,2022,Assembly,73692.32433
South Atlantic,2969146729,2022,Assembly,217802.501
East South Central,800058838,2022,Assembly,58688.51618
West South Central,1530572144,2022,Assembly,112275.5025
Mountain,954698303,2022,Assembly,70032.13281
Pacific,1467048706,2022,Assembly,107615.7248
New England,643991333,2022,Education,19792.1241
Middle Atlantic,1952515747,2022,Education,60007.69263
East North Central,2504129394,2022,Education,76960.72475
West North Central,1476647338,2022,Education,45382.57871
South Atlantic,2449715821,2022,Education,75288.40381
East South Central,849990967,2022,Education,26123.21911
West South Central,1943445068,2022,Education,59728.91868
Mountain,944535828,2022,Education,29028.91602
Pacific,1438562622,2022,Education,44212.10112
New England,84771667,2022,Food Sales ,28257.22233
Middle Atlantic,54732506,2022,Food Sales ,18244.16867
East North Central,280421326,2022,Food Sales ,93473.77533
West North Central,123271653,2022,Food Sales ,41090.551
South Atlantic,86104607,2022,Food Sales ,28701.53567
East South Central,38518269,2022,Food Sales ,12839.423
West South Central,128880035,2022,Food Sales ,42960.01167
Mountain,96809822,2022,Food Sales ,32269.94067
Pacific,117619812,2022,Food Sales ,39206.604
New England,60775532,2022,Food Services ,14104.02641
Middle Atlantic,76826629,2022,Food Services ,17828.96454
East North Central,215826172,2022,Food Services ,50086.24245
West North Central,63556602,2022,Food Services ,14749.42241
South Atlantic,265720978,2022,Food Services ,61665.20586
East South Central,109697289,2022,Food Services ,25457.17677
West South Central,197513352,2022,Food Services ,45836.4319
Mountain,212038956,2022,Food Services ,49207.35266
Pacific,194456452,2022,Food Services ,45127.02473
New England,93762909,2022,Health Care,3489.087621
Middle Atlantic,275737244,2022,Health Care,10260.68213
East North Central,599676209,2022,Health Care,22315.03757
West North Central,147252564,2022,Health Care,5479.534537
South Atlantic,409952759,2022,Health Care,15255.08447
East South Central,117963302,2022,Health Care,4389.628064
West South Central,246489791,2022,Health Care,9172.331443
Mountain,191005875,2022,Health Care,7107.674464
Pacific,344046265,2022,Health Care,12802.58449
New England,337196991,2022,Lodging,5834.699195
Middle Atlantic,932446472,2022,Lodging,16134.61812
East North Central,1126183838,2022,Lodging,19486.95898
West North Central,619926209,2022,Lodging,10726.91349
South Atlantic,1403817505,2022,Lodging,24291.00225
East South Central,345400177,2022,Lodging,5976.643293
West South Central,816749084,2022,Lodging,14132.64457
Mountain,740991516,2022,Lodging,12821.77101
Pacific,959436157,2022,Lodging,16601.63502
New England,327621490,2022,Office,18954.27929
Middle Atlantic,2071935303,2022,Office,119870.1599
East North Central,1610085327,2022,Office,93150.19893
West North Central,729649109,2022,Office,42213.26566
South Atlantic,2412052978,2022,Office,139547.396
East South Central,305277619,2022,Office,17661.5925
West South Central,1054072632,2022,Office,60982.52913
Mountain,932233337,2022,Office,53933.61416
Pacific,1455395020,2022,Office,84200.71493
New England,244219833,2022,Office,14129.14312
Middle Atlantic,986661011,2022,Office,57082.48371
East North Central,1496758545,2022,Office,86593.76859
