meas	Scout_end_use	original_ann	measure_ann	original_ts	measure_ts	sector	original_desc	measure_desc	original_desc_simple	measure_desc_simple
(C) ES HP Pt. FS (RTU, NG Ht.) & Env.	Cooling (Equip.)	com_hvac_ann_16	com_hvac_ann_19	com_cooling_ts_9	com_cooling_ts_1	com	ng rtu+rtac or chiller	ESTAR HP & Env	ng rtu+rtac or chiller	ESTAR HP
(C) ES HP Pt. FS (RTU, NG Ht.) & Env.	Heating (Equip.)	com_hvac_ann_16	com_hvac_ann_19	com_heating_ts_8	com_heating_ts_2	com	ng rtu+rtac or chiller	ESTAR HP & Env	ng rtu+rtac or chiller	ESTAR HP
(C) ES HP Pt. FS (RTU, NG Ht.) & Env.	Ventilation	com_hvac_ann_16	com_hvac_ann_19	com_ventilation_5	com_ventilation_3	com	ng rtu+rtac or chiller	ESTAR HP & Env	ng rtu+rtac or chiller	ESTAR HP
(C) ES HP Pt. FS (RTU, Oth. Fs. Ht.) & Env.	Cooling (Equip.)	com_hvac_ann_28	com_hvac_ann_31	com_cooling_ts_9	com_cooling_ts_1	com	other fossil rtu+rtac or chiller	ESTAR HP & Env	other fossil rtu+rtac or chiller	ESTAR HP
(C) ES HP Pt. FS (RTU, Oth. Fs. Ht.) & Env.	Heating (Equip.)	com_hvac_ann_28	com_hvac_ann_31	com_heating_ts_8	com_heating_ts_2	com	other fossil rtu+rtac or chiller	ESTAR HP & Env	other fossil rtu+rtac or chiller	ESTAR HP
(C) ES HP Pt. FS (RTU, Oth. Fs. Ht.) & Env.	Ventilation	com_hvac_ann_28	com_hvac_ann_31	com_ventilation_5	com_ventilation_3	com	other fossil rtu+rtac or chiller	ESTAR HP & Env	other fossil rtu+rtac or chiller	ESTAR HP
(C) ESTAR HP FS (NG Furnace)	Cooling (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_cooling_ts_7	com_cooling_ts_7	com	ng furnace+cac&rac	ESTAR HP	ng furnace+cac&rac	ESTAR HP
(C) ESTAR HP FS (NG Furnace)	Heating (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_heating_ts_8	com_heating_ts_1	com	ng furnace+cac&rac	ESTAR HP	ng furnace+cac&rac	ESTAR HP
(C) ESTAR HP FS (NG Furnace)	Ventilation	com_hvac_ann_12	com_hvac_ann_12	com_ventilation_6	com_ventilation_6	com	ng furnace+cac&rac	ESTAR HP	ng furnace+cac&rac	ESTAR HP
(C) ESTAR HP FS (Other Fossil Furnace)	Cooling (Equip.)	com_hvac_ann_24	com_hvac_ann_24	com_cooling_ts_7	com_cooling_ts_7	com	other fossil furnace+cac&rac	ESTAR HP	other fossil furnace+cac&rac	ESTAR HP
(C) ESTAR HP FS (Other Fossil Furnace)	Heating (Equip.)	com_hvac_ann_24	com_hvac_ann_24	com_heating_ts_8	com_heating_ts_1	com	other fossil furnace+cac&rac	ESTAR HP	other fossil furnace+cac&rac	ESTAR HP
(C) ESTAR HP FS (Other Fossil Furnace)	Ventilation	com_hvac_ann_24	com_hvac_ann_24	com_ventilation_6	com_ventilation_6	com	other fossil furnace+cac&rac	ESTAR HP	other fossil furnace+cac&rac	ESTAR HP
(C) ESTAR HP FS (RTU, NG Heat)	Cooling (Equip.)	com_hvac_ann_16	com_hvac_ann_17	com_cooling_ts_9	com_cooling_ts_1	com	ng rtu+rtac or chiller	ESTAR HP	ng rtu+rtac or chiller	ESTAR HP
(C) ESTAR HP FS (RTU, NG Heat)	Heating (Equip.)	com_hvac_ann_16	com_hvac_ann_17	com_heating_ts_8	com_heating_ts_1	com	ng rtu+rtac or chiller	ESTAR HP	ng rtu+rtac or chiller	ESTAR HP
(C) ESTAR HP FS (RTU, NG Heat)	Ventilation	com_hvac_ann_16	com_hvac_ann_17	com_ventilation_5	com_ventilation_1	com	ng rtu+rtac or chiller	ESTAR HP	ng rtu+rtac or chiller	ESTAR HP
(C) ESTAR HP FS (RTU, Other Fossil Heat)	Cooling (Equip.)	com_hvac_ann_28	com_hvac_ann_29	com_cooling_ts_9	com_cooling_ts_1	com	other fossil rtu+rtac or chiller	ESTAR HP	other fossil rtu+rtac or chiller	ESTAR HP
(C) ESTAR HP FS (RTU, Other Fossil Heat)	Heating (Equip.)	com_hvac_ann_28	com_hvac_ann_29	com_heating_ts_8	com_heating_ts_1	com	other fossil rtu+rtac or chiller	ESTAR HP	other fossil rtu+rtac or chiller	ESTAR HP
(C) ESTAR HP FS (RTU, Other Fossil Heat)	Ventilation	com_hvac_ann_28	com_hvac_ann_29	com_ventilation_5	com_ventilation_1	com	other fossil rtu+rtac or chiller	ESTAR HP	other fossil rtu+rtac or chiller	ESTAR HP
(C) ESTAR HP Pt. FS (NG Furnace)	Cooling (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_cooling_ts_7	com_cooling_ts_7	com	ng furnace+cac&rac	ESTAR HP, fossil backup	ng furnace+cac&rac	ESTAR HP, fossil backup
(C) ESTAR HP Pt. FS (NG Furnace)	Heating (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_heating_ts_8	com_heating_ts_2	com	ng furnace+cac&rac	ESTAR HP, fossil backup	ng furnace+cac&rac	ESTAR HP, fossil backup
(C) ESTAR HP Pt. FS (NG Furnace)	Ventilation	com_hvac_ann_12	com_hvac_ann_12	com_ventilation_6	com_ventilation_6	com	ng furnace+cac&rac	ESTAR HP, fossil backup	ng furnace+cac&rac	ESTAR HP, fossil backup
(C) ESTAR HP Pt. FS (Other Fossil Furnace)	Cooling (Equip.)	com_hvac_ann_24	com_hvac_ann_24	com_cooling_ts_7	com_cooling_ts_7	com	other fossil furnace+cac&rac	ESTAR HP, fossil backup	other fossil furnace+cac&rac	ESTAR HP, fossil backup
(C) ESTAR HP Pt. FS (Other Fossil Furnace)	Heating (Equip.)	com_hvac_ann_24	com_hvac_ann_24	com_heating_ts_8	com_heating_ts_2	com	other fossil furnace+cac&rac	ESTAR HP, fossil backup	other fossil furnace+cac&rac	ESTAR HP, fossil backup
(C) ESTAR HP Pt. FS (Other Fossil Furnace)	Ventilation	com_hvac_ann_24	com_hvac_ann_24	com_ventilation_6	com_ventilation_6	com	other fossil furnace+cac&rac	ESTAR HP, fossil backup	other fossil furnace+cac&rac	ESTAR HP, fossil backup
(C) ESTAR HP Pt. FS (RTU, NG Heat)	Cooling (Equip.)	com_hvac_ann_16	com_hvac_ann_19	com_cooling_ts_9	com_cooling_ts_1	com	ng rtu+rtac or chiller	ESTAR HP, fossil backup	ng rtu+rtac or chiller	ESTAR HP, fossil backup
(C) ESTAR HP Pt. FS (RTU, NG Heat)	Heating (Equip.)	com_hvac_ann_16	com_hvac_ann_19	com_heating_ts_8	com_heating_ts_2	com	ng rtu+rtac or chiller	ESTAR HP, fossil backup	ng rtu+rtac or chiller	ESTAR HP, fossil backup
(C) ESTAR HP Pt. FS (RTU, NG Heat)	Ventilation	com_hvac_ann_16	com_hvac_ann_19	com_ventilation_5	com_ventilation_3	com	ng rtu+rtac or chiller	ESTAR HP, fossil backup	ng rtu+rtac or chiller	ESTAR HP, fossil backup
(C) ESTAR HP Pt. FS (RTU, Other Fossil Heat)	Cooling (Equip.)	com_hvac_ann_28	com_hvac_ann_31	com_cooling_ts_9	com_cooling_ts_1	com	other fossil rtu+rtac or chiller	ESTAR HP, fossil backup	other fossil rtu+rtac or chiller	ESTAR HP, fossil backup
(C) ESTAR HP Pt. FS (RTU, Other Fossil Heat)	Heating (Equip.)	com_hvac_ann_28	com_hvac_ann_31	com_heating_ts_8	com_heating_ts_2	com	other fossil rtu+rtac or chiller	ESTAR HP, fossil backup	other fossil rtu+rtac or chiller	ESTAR HP, fossil backup
(C) ESTAR HP Pt. FS (RTU, Other Fossil Heat)	Ventilation	com_hvac_ann_28	com_hvac_ann_31	com_ventilation_5	com_ventilation_3	com	other fossil rtu+rtac or chiller	ESTAR HP, fossil backup	other fossil rtu+rtac or chiller	ESTAR HP, fossil backup
(C) ESTAR HP TS (Resist. Heat)	Cooling (Equip.)	com_hvac_ann_35	com_hvac_ann_36	com_cooling_ts_9	com_cooling_ts_1	com	resistance heat+rtac or chiller	ESTAR HP	resistance heat+rtac or chiller	ESTAR HP
(C) ESTAR HP TS (Resist. Heat)	Heating (Equip.)	com_hvac_ann_35	com_hvac_ann_36	com_heating_ts_7	com_heating_ts_1	com	resistance heat+rtac or chiller	ESTAR HP	resistance heat+rtac or chiller	ESTAR HP
(C) ESTAR HP TS (Resist. Heat)	Ventilation	com_hvac_ann_35	com_hvac_ann_36	com_ventilation_7	com_ventilation_1	com	resistance heat+rtac or chiller	ESTAR HP	resistance heat+rtac or chiller	ESTAR HP
(C) ESTAR HP TS (RTU, Resist. Heat)	Cooling (Equip.)	com_hvac_ann_35	com_hvac_ann_36	com_cooling_ts_9	com_cooling_ts_1	com	resistance heat+rtac or chiller	ESTAR HP	resistance heat+rtac or chiller	ESTAR HP
(C) ESTAR HP TS (RTU, Resist. Heat)	Heating (Equip.)	com_hvac_ann_35	com_hvac_ann_36	com_heating_ts_7	com_heating_ts_1	com	resistance heat+rtac or chiller	ESTAR HP	resistance heat+rtac or chiller	ESTAR HP
(C) ESTAR HPWH FS	Water Heating	com_wh_ann_1	com_wh_ann_1	com_wh_ts_1	com_wh_ts_1	com	Fossil water heater	ESTAR HPWH	Fossil water heater	ESTAR HPWH
(C) ESTAR HPWH TS	Water Heating	com_wh_ann_2	com_wh_ann_2	com_wh_ts_1	com_wh_ts_1	com	Resistance water heater	ESTAR HPWH	Resistance water heater	ESTAR HPWH
(C) Induction Range FS	Cooking	com_cook_ann_1	com_cook_ann_1	com_cook_ts_1	com_cook_ts_1	com	Fossil range	Induction range	Fossil range	Induction range
(C) Min. Efficiency HP FS (NG Furnace)	Cooling (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_cooling_ts_7	com_cooling_ts_7	com	ng furnace+cac&rac	Min. Eff HP	ng furnace+cac&rac	Min. Eff HP
(C) Min. Efficiency HP FS (NG Furnace)	Heating (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_heating_ts_8	com_heating_ts_1	com	ng furnace+cac&rac	Min. Eff HP	ng furnace+cac&rac	Min. Eff HP
(C) Min. Efficiency HP FS (NG Furnace)	Ventilation	com_hvac_ann_12	com_hvac_ann_12	com_ventilation_6	com_ventilation_6	com	ng furnace+cac&rac	Min. Eff HP	ng furnace+cac&rac	Min. Eff HP
