in.census_division_name,in.comstock_building_type_group,in.state,sf,cdiv_share,Scout building type
West North Central,Healthcare,NE,37305816.15,0.136572973,Health Care
West North Central,Healthcare,ND,12264910.7,0.044900648,Health Care
West North Central,Healthcare,SD,12211531.57,0.044705232,Health Care
West North Central,Office,IA,87034217.29,0.108767286,Office
West North Central,Office,KS,108496746.2,0.135589163,Office
West North Central,Office,MN,258779466.3,0.323398557,Office
West North Central,Office,MO,250984992.8,0.313657747,Office
West North Central,Office,NE,60790404.59,0.075970205,Office
West North Central,Office,ND,15744841.53,0.019676441,Office
West North Central,Office,SD,18356781.15,0.022940601,Office
West North Central,Lodging,IA,24129477.11,0.110560087,Lodging
West North Central,Lodging,KS,26454035.42,0.1212111,Lodging
West North Central,Lodging,MN,50621575.54,0.231945589,Lodging
West North Central,Lodging,MO,83853307.83,0.384211765,Lodging
West North Central,Lodging,NE,22099815.03,0.101260274,Lodging
West North Central,Lodging,ND,8769210.275,0.040180094,Lodging
West North Central,Lodging,SD,2320210.587,0.010631092,Lodging
West North Central,Mercantile,IA,91521415.67,0.148005381,Mercantile and Service
West North Central,Mercantile,KS,85868708.73,0.138864012,Mercantile and Service
West North Central,Mercantile,MN,175327434.5,0.283533679,Mercantile and Service
West North Central,Mercantile,MO,176627755.7,0.285636515,Mercantile and Service
West North Central,Mercantile,NE,51450374.99,0.08320383,Mercantile and Service
West North Central,Mercantile,ND,18210164.76,0.029448871,Mercantile and Service
West North Central,Mercantile,SD,19359607.87,0.031307712,Mercantile and Service
West North Central,Warehouse and Storage,IA,192510823.4,0.165480751,Warehouse
West North Central,Warehouse and Storage,KS,187317191.9,0.161016348,Warehouse
West North Central,Warehouse and Storage,MN,219850242.1,0.188981495,Warehouse
West North Central,Warehouse and Storage,MO,471755940.4,0.405517602,Warehouse
West North Central,Warehouse and Storage,NE,64758497.48,0.055665882,Warehouse
West North Central,Warehouse and Storage,ND,16592746.02,0.014262991,Warehouse
West North Central,Warehouse and Storage,SD,10557254.05,0.00907493,Warehouse
West North Central,Education,IA,94343310.45,0.130931642,Education
West North Central,Education,KS,86319002.29,0.119795338,Education
West North Central,Education,MN,214916423.7,0.29826556,Education
West North Central,Education,MO,207293726.6,0.28768662,Education
West North Central,Education,NE,69251900.63,0.096109253,Education
West North Central,Education,ND,23545205.53,0.032676534,Education
West North Central,Education,SD,24884367.86,0.034535052,Education
West North Central,Food Service,IA,9405567.556,0.129688244,Food Services 
West North Central,Food Service,KS,10598349.88,0.146134869,Food Services 
West North Central,Food Service,MN,22680470.1,0.312728638,Food Services 
West North Central,Food Service,MO,18187241.03,0.250773952,Food Services 
West North Central,Food Service,NE,6652566.817,0.091728617,Food Services 
West North Central,Food Service,ND,2477701.155,0.034163671,Food Services 
West North Central,Food Service,SD,2522545.899,0.03478201,Food Services 
Middle Atlantic,Healthcare,NJ,152763885.1,0.277146949,Health Care
Middle Atlantic,Healthcare,NY,223791755,0.406006971,Health Care
Middle Atlantic,Healthcare,PA,174646115.7,0.31684608,Health Care
Middle Atlantic,Office,NJ,485087959.8,0.210679395,Office
Middle Atlantic,Office,NY,1157563901,0.50274359,Office
Middle Atlantic,Office,PA,659841745,0.286577015,Office
Middle Atlantic,Lodging,NJ,64505385.54,0.152962669,Lodging
Middle Atlantic,Lodging,NY,259616466.8,0.615632746,Lodging
Middle Atlantic,Lodging,PA,97584868.67,0.231404585,Lodging
Middle Atlantic,Mercantile,NJ,318556718.5,0.224718091,Mercantile and Service
Middle Atlantic,Mercantile,NY,616071957.8,0.434592982,Mercantile and Service
Middle Atlantic,Mercantile,PA,482955093.5,0.340688927,Mercantile and Service
Middle Atlantic,Warehouse and Storage,NJ,566400484.4,0.277650005,Warehouse
Middle Atlantic,Warehouse and Storage,NY,661336441.7,0.324187694,Warehouse
Middle Atlantic,Warehouse and Storage,PA,812243168.4,0.398162301,Warehouse
Middle Atlantic,Education,NJ,284291433.6,0.216447177,Education
Middle Atlantic,Education,NY,619926604.4,0.47198525,Education
Middle Atlantic,Education,PA,409226829.9,0.311567573,Education
Middle Atlantic,Food Service,NJ,30730419.66,0.232067267,Food Services 
Middle Atlantic,Food Service,NY,53042227.63,0.400559606,Food Services 
Middle Atlantic,Food Service,PA,48647663.83,0.367373127,Food Services 
East South Central,food service,AL,,0.261394288,Food Sales 
East South Central,food service,KY,,0.215903139,Food Sales 
East South Central,food service,MS,,0.136673312,Food Sales 
East South Central,food service,TN,,0.386029261,Food Sales 
Pacific,food service,AK,,0.008545753,Food Sales 
Pacific,food service,CA,,0.809395016,Food Sales 
Pacific,food service,HI,,0.017609228,Food Sales 
Pacific,food service,OR,,0.078352258,Food Sales 
Pacific,food service,WA,,0.086097745,Food Sales 
Mountain,food service,AZ,,0.271983377,Food Sales 
Mountain,food service,CO,,0.244450475,Food Sales 
Mountain,food service,ID,,0.071494626,Food Sales 
Mountain,food service,MT,,0.045260978,Food Sales 
Mountain,food service,NV,,0.112217833,Food Sales 
Mountain,food service,NM,,0.108962373,Food Sales 
Mountain,food service,UT,,0.129108123,Food Sales 
Mountain,food service,WY,,0.016522215,Food Sales 
West South Central,food service,AR,,0.088483326,Food Sales 
West South Central,food service,LA,,0.136109222,Food Sales 
West South Central,food service,OK,,0.113194079,Food Sales 
West South Central,food service,TX,,0.662213373,Food Sales 
New England,food service,CT,,0.222877847,Food Sales 
New England,food service,ME,,0.133483222,Food Sales 
New England,food service,MA,,0.429838152,Food Sales 
New England,food service,NH,,0.096851884,Food Sales 
New England,food service,RI,,0.090988724,Food Sales 
New England,food service,VT,,0.025960172,Food Sales 
South Atlantic,food service,DE,,0.009398391,Food Sales 
South Atlantic,food service,DC,,0.006197529,Food Sales 
South Atlantic,food service,FL,,0.465185956,Food Sales 
South Atlantic,food service,GA,,0.117779725,Food Sales 
South Atlantic,food service,MD,,0.063045885,Food Sales 
South Atlantic,food service,NC,,0.133981299,Food Sales 
South Atlantic,food service,SC,,0.097064607,Food Sales 
South Atlantic,food service,VA,,0.078277028,Food Sales 
South Atlantic,food service,WV,,0.029069581,Food Sales 
East North Central,food service,IL,,0.232854424,Food Sales 
East North Central,food service,IN,,0.120762538,Food Sales 
East North Central,food service,MI,,0.185257647,Food Sales 
East North Central,food service,OH,,0.288235558,Food Sales 
East North Central,food service,WI,,0.172889833,Food Sales 
West North Central,food service,IA,,0.129688244,Food Sales 
West North Central,food service,KS,,0.146134869,Food Sales 
West North Central,food service,MN,,0.312728638,Food Sales 
West North Central,food service,MO,,0.250773952,Food Sales 
West North Central,food service,NE,,0.091728617,Food Sales 
West North Central,food service,ND,,0.034163671,Food Sales 
West North Central,food service,SD,,0.03478201,Food Sales 
Middle Atlantic,food service,NJ,,0.232067267,Food Sales 
Middle Atlantic,food service,NY,,0.400559606,Food Sales 
Middle Atlantic,food service,PA,,0.367373127,Food Sales 
East South Central,all,AL,852574297.3,0.241666028,Assembly
East South Central,all,KY,828617529.4,0.234875374,Assembly
East South Central,all,MS,466638915,0.132270904,Assembly
East South Central,all,TN,1380072230,0.391187695,Assembly
Pacific,all,AK,89188941.24,0.01013731,Assembly
Pacific,all,CA,6476649141,0.736142856,Assembly
Pacific,all,HI,274092303.9,0.031153624,Assembly
Pacific,all,OR,728926556.5,0.082850571,Assembly
Pacific,all,WA,1229230401,0.13971564,Assembly
Mountain,all,AZ,1078148258,0.260451969,Assembly
Mountain,all,CO,1064276912,0.25710102,Assembly
Mountain,all,ID,256172314.4,0.061884424,Assembly
Mountain,all,MT,116215622.1,0.028074606,Assembly
Mountain,all,NV,678248485.6,0.16384681,Assembly
Mountain,all,NM,312960117.7,0.075602848,Assembly
Mountain,all,UT,557512104.3,0.134680109,Assembly
Mountain,all,WY,75994344.59,0.018358214,Assembly
West South Central,all,AR,455022663.1,0.060707236,Assembly
West South Central,all,LA,763987794.8,0.101928082,Assembly
West South Central,all,OK,703791509.6,0.093896943,Assembly
West South Central,all,TX,5572559289,0.743467739,Assembly
New England,all,CT,716301465.6,0.256992338,Assembly
New England,all,ME,234756039.1,0.084225017,Assembly
New England,all,MA,1347357398,0.483400558,Assembly
New England,all,NH,223861925.9,0.080316462,Assembly
New England,all,RI,190810544.8,0.068458394,Assembly
New England,all,VT,74160956.37,0.02660723,Assembly
South Atlantic,all,DE,169215507.3,0.01385029,Assembly
South Atlantic,all,DC,253637332.3,0.020760216,Assembly
South Atlantic,all,FL,3871858162,0.3169116,Assembly
South Atlantic,all,GA,2065371739,0.169050682,Assembly
South Atlantic,all,MD,1139961702,0.093305868,Assembly
South Atlantic,all,NC,1880533034,0.153921633,Assembly
South Atlantic,all,SC,1008197088,0.082520934,Assembly
South Atlantic,all,VA,1531418125,0.125346577,Assembly
South Atlantic,all,WV,297277926.8,0.024332199,Assembly
East North Central,all,IL,2697224127,0.282477148,Assembly
East North Central,all,IN,1329486409,0.139235567,Assembly
East North Central,all,MI,1816289419,0.19021788,Assembly
East North Central,all,OH,2609720515,0.273312997,Assembly
East North Central,all,WI,1095747938,0.114756408,Assembly
West North Central,all,IA,536165507.8,0.138673836,Assembly
West North Central,all,KS,557439561.2,0.144176157,Assembly
West North Central,all,MN,987748002.9,0.255471124,Assembly
West North Central,all,MO,1284898745,0.332326186,Assembly
West North Central,all,NE,312309375.7,0.080775691,Assembly
West North Central,all,ND,97604779.97,0.025244498,Assembly
West North Central,all,SD,90212298.99,0.023332507,Assembly
Middle Atlantic,all,NJ,1902336287,0.232592684,Assembly
Middle Atlantic,all,NY,3591349354,0.439103009,Assembly
Middle Atlantic,all,PA,2685145485,0.328304307,Assembly
East South Central,all,AL,852574297.3,0.241666028,Other
East South Central,all,KY,828617529.4,0.234875374,Other
East South Central,all,MS,466638915,0.132270904,Other
East South Central,all,TN,1380072230,0.391187695,Other
